No.,Recipe Name,Protein (g),Carbs (g),Fat (g),Total Calories,Serving Size,Time of Day,Preparation Instructions,Veg / Non-veg
410,Mediterranean Chickpea Bowl,15,30,5,250,1 bowl,Lunch,"Combine chickpeas with cucumbers, tomatoes, olives, and feta, drizzle with olive oil.",Veg
411,Shrimp Tacos,25,30,10,350,2 tacos,Lunch,"Cook shrimp with spices, serve in corn tortillas with slaw.",Non-Veg
412,Baked Sweet Potato,4,30,0,120,1 potato,Lunch,"Bake sweet potato at 400°F for 45 minutes, serve with toppings of choice.",Veg
413,Chicken & Quinoa Salad,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, black beans, and corn.",Non-Veg
414,Veggie Burger,15,30,5,250,1 burger,Lunch,"Grill veggie patty, serve on a bun with lettuce and tomato.",Non-Veg
415,Tuna Salad,25,5,10,200,1 bowl,Lunch,"Mix canned tuna with mayo, celery, and onions, serve on lettuce.",Veg
416,Chicken & Broccoli Stir-Fry,30,20,10,350,1 bowl,Lunch,"Stir-fry chicken with broccoli and soy sauce, serve over brown rice.",Non-Veg
417,Caprese Salad,10,5,15,200,1 plate,Lunch,"Layer fresh mozzarella, tomatoes, and basil, drizzle with balsamic glaze.",Veg
418,Quinoa & Roasted Veggie Bowl,12,40,5,300,1 bowl,Lunch,Toss cooked quinoa with roasted vegetables and a lemon dressing.,Non-Veg
419,Chicken & Lentil Salad,30,30,5,400,1 bowl,Lunch,"Mix grilled chicken with lentils, spinach, and a vinaigrette.",Non-Veg
420,Greek Salad,10,10,15,200,1 bowl,Lunch,"Combine cucumbers, tomatoes, olives, and feta, drizzle with olive oil.",Veg
421,BBQ Chicken Wrap,25,30,10,350,1 wrap,Lunch,"Fill a tortilla with BBQ chicken, lettuce, and cheese, roll tightly.",Non-Veg
422,Vegetable Stir-Fry,10,20,5,200,1 bowl,Lunch,"Stir-fry mixed vegetables with soy sauce, serve over rice or noodles.",Veg
423,Salmon Salad,25,5,15,300,1 bowl,Lunch,"Mix canned salmon with Greek yogurt, celery, and dill, serve on greens.",Veg
424,Pesto Pasta Salad,12,40,10,300,1 bowl,Lunch,"Toss cooked pasta with pesto, cherry tomatoes, and mozzarella.",Veg
425,Chicken Fajita Bowl,30,30,10,400,1 bowl,Lunch,"Saute chicken with bell peppers and onions, serve over rice.",Non-Veg
426,Lentil & Spinach Salad,18,30,5,250,1 bowl,Lunch,"Mix cooked lentils with spinach, cherry tomatoes, and a lemon dressing.",Veg
427,Turkey & Cheese Sandwich,25,30,10,350,1 sandwich,Lunch,"Layer turkey and cheese on whole grain bread, add lettuce and tomato.",Non-Veg
428,Shrimp & Avocado Salad,25,10,15,300,1 bowl,Lunch,"Toss shrimp with avocado, lime juice, and cilantro, serve chilled.",Non-Veg
429,Quinoa & Chickpea Salad,15,35,5,250,1 bowl,Lunch,"Mix cooked quinoa with chickpeas, cucumber, and a lemon vinaigrette.",Veg
430,Grilled Chicken & Veggie Bowl,30,20,10,350,1 bowl,Lunch,"Grill chicken and assorted vegetables, serve over brown rice.",Non-Veg
431,Spinach & Feta Stuffed Peppers,12,30,5,250,2 peppers,Lunch,"Stuff bell peppers with spinach, feta, and quinoa, bake until tender.",Veg
432,Chicken & Rice Casserole,30,40,10,400,1 serving,Lunch,"Bake chicken with rice, cream of mushroom soup, and veggies until cooked through.",Non-Veg
433,Veggie Sushi Rolls,10,40,5,250,6 rolls,Lunch,"Roll sushi rice with cucumber, avocado, and carrots, serve with soy sauce.",Non-Veg
434,Beef & Broccoli Stir-Fry,25,20,10,350,1 bowl,Lunch,"Stir-fry beef with broccoli and soy sauce, serve over rice.",Non-Veg
435,Mediterranean Quinoa Salad,12,35,5,250,1 bowl,Lunch,"Combine quinoa with olives, tomatoes, cucumber, and feta, drizzle with olive oil.",Veg
436,Chicken & Avocado Salad,30,10,15,300,1 bowl,Lunch,"Toss grilled chicken with avocado, lime juice, and cilantro.",Non-Veg
437,Tuna & White Bean Salad,25,20,5,250,1 bowl,Lunch,"Mix canned tuna with white beans, red onion, and parsley, drizzle with olive oil.",Veg
438,Veggie & Hummus Wrap,10,30,5,200,1 wrap,Lunch,"Spread hummus on a tortilla, add mixed veggies, and roll tightly.",Non-Veg
439,Chicken & Quinoa Bowl,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, black beans, and corn.",Non-Veg
440,Caprese Pasta Salad,10,40,10,300,1 bowl,Lunch,"Toss cooked pasta with cherry tomatoes, mozzarella, and basil, drizzle with balsamic glaze.",Veg
441,Black Bean & Corn Salad,15,30,5,250,1 bowl,Lunch,"Mix black beans with corn, bell peppers, and lime dressing.",Veg
442,Chicken & Spinach Wrap,30,30,10,350,1 wrap,Lunch,"Fill a tortilla with grilled chicken, spinach, and ranch dressing, roll tightly.",Non-Veg
443,Quinoa & Roasted Chickpea Bowl,12,35,5,250,1 bowl,Lunch,"Toss cooked quinoa with roasted chickpeas and veggies, drizzle with tahini.",Veg
444,Shrimp & Mango Salad,25,10,15,300,1 bowl,Lunch,"Toss shrimp with mango, avocado, and lime juice, serve chilled.",Non-Veg
445,Turkey & Spinach Salad,25,10,10,250,1 bowl,Lunch,"Mix sliced turkey with spinach, walnuts, and vinaigrette.",Non-Veg
446,Grilled Chicken & Avocado Wrap,30,30,15,400,1 wrap,Lunch,"Fill a tortilla with grilled chicken, avocado, and salsa, roll tightly.",Non-Veg
447,Lentil & Quinoa Salad,18,30,5,250,1 bowl,Lunch,"Combine cooked lentils with quinoa, cherry tomatoes, and a lemon dressing.",Veg
448,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Lunch,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
449,Greek Chicken Bowl,30,10,15,350,1 bowl,Lunch,"Mix grilled chicken with cucumbers, tomatoes, olives, and feta, drizzle with olive oil.",Non-Veg
450,Veggie & Quinoa Stuffed Peppers,12,30,5,250,2 peppers,Lunch,"Stuff bell peppers with quinoa, black beans, and spices, bake until tender.",Non-Veg
451,Chicken & Avocado Toast,30,30,15,400,1 slice,Lunch,Top whole grain toast with grilled chicken and smashed avocado.,Non-Veg
452,Tuna & Avocado Salad,25,10,15,300,1 bowl,Lunch,"Mix canned tuna with avocado, lime juice, and cilantro, serve chilled.",Veg
453,Quinoa & Spinach Stuffed Peppers,12,30,5,250,2 peppers,Lunch,"Stuff bell peppers with quinoa, spinach, and cheese, bake until tender.",Veg
454,Chicken & Sweet Potato Bowl,30,30,10,400,1 bowl,Lunch,"Roast sweet potatoes, top with grilled chicken and a drizzle of honey.",Non-Veg
455,Mediterranean Lentil Salad,18,30,5,250,1 bowl,Lunch,"Mix lentils with cucumbers, tomatoes, olives, and feta, drizzle with olive oil.",Veg
456,Shrimp & Avocado Wrap,25,30,15,400,1 wrap,Lunch,"Fill a tortilla with shrimp, avocado, and mixed greens, roll tightly.",Non-Veg
457,Chicken & Quinoa Stuffed Peppers,30,30,10,400,2 peppers,Lunch,"Stuff bell peppers with quinoa, chicken, and spices, bake until tender.",Non-Veg
458,Veggie & Hummus Bowl,10,30,5,200,1 bowl,Lunch,Serve assorted veggies with hummus for dipping.,Non-Veg
459,Turkey & Cranberry Wrap,25,30,10,350,1 wrap,Lunch,"Spread cranberry sauce on a tortilla, layer turkey and spinach, roll tightly.",Non-Veg
460,Chicken & Rice Bowl,30,40,10,400,1 bowl,Lunch,Serve grilled chicken over brown rice with steamed vegetables.,Non-Veg
462,Beef Tacos,25,30,10,350,2 tacos,Lunch,"Cook ground beef with taco seasoning, serve in corn tortillas with toppings.",Non-Veg
463,Chicken & Avocado Salad,30,10,15,300,1 bowl,Lunch,"Toss grilled chicken with avocado, cherry tomatoes, and lime dressing.",Non-Veg
464,Spinach & Chickpea Salad,12,30,5,250,1 bowl,Lunch,"Mix spinach with chickpeas, red onion, and a lemon vinaigrette.",Veg
465,Grilled Salmon Salad,25,5,15,300,1 bowl,Lunch,"Grill salmon, serve over mixed greens with a lemon dressing.",Veg
466,Chicken & Vegetable Soup,30,20,5,250,1 bowl,Lunch,Simmer chicken with mixed vegetables and broth until cooked through.,Non-Veg
467,Quinoa & Roasted Beet Salad,12,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with roasted beets, goat cheese, and arugula.",Veg
468,Turkey & Spinach Wrap,25,30,10,350,1 wrap,Lunch,"Fill a tortilla with turkey, spinach, and hummus, roll tightly.",Non-Veg
469,Shrimp & Quinoa Bowl,25,30,10,350,1 bowl,Lunch,Cook shrimp and serve over quinoa with mixed vegetables.,Non-Veg
470,Chicken & Black Bean Salad,30,30,5,400,1 bowl,Lunch,"Mix grilled chicken with black beans, corn, and avocado.",Non-Veg
471,Veggie & Cheese Quesadilla,10,30,10,300,1 quesadilla,Lunch,"Fill a tortilla with cheese and assorted veggies, cook until crispy.",Non-Veg
472,Tuna & Chickpea Salad,25,20,5,250,1 bowl,Lunch,"Mix canned tuna with chickpeas, red onion, and a lemon dressing.",Veg
473,Chicken & Sweet Potato Salad,30,30,10,400,1 bowl,Lunch,Toss grilled chicken with roasted sweet potatoes and spinach.,Non-Veg
474,Mediterranean Pasta Salad,12,40,10,300,1 bowl,Lunch,"Toss cooked pasta with olives, tomatoes, feta, and a lemon dressing.",Veg
475,Beef & Vegetable Stir-Fry,25,20,10,350,1 bowl,Lunch,"Stir-fry beef with mixed vegetables and soy sauce, serve over rice.",Non-Veg
476,Chicken & Quinoa Salad,30,35,10,400,1 bowl,Lunch,"Mix grilled chicken with quinoa, spinach, and a vinaigrette.",Non-Veg
477,Shrimp & Vegetable Stir-Fry,25,20,10,350,1 bowl,Lunch,Stir-fry shrimp with mixed vegetables and serve over rice.,Non-Veg
478,Quinoa & Spinach Salad,12,30,5,250,1 bowl,Lunch,"Toss cooked quinoa with spinach, cherry tomatoes, and a lemon dressing.",Veg
479,Chicken & Lentil Soup,30,20,5,250,1 bowl,Lunch,Simmer chicken with lentils and vegetables in broth.,Non-Veg
480,Veggie & Hummus Sandwich,10,30,5,200,1 sandwich,Lunch,"Spread hummus on whole grain bread, add mixed veggies, and serve.",Non-Veg
481,Turkey & Avocado Salad,25,10,15,300,1 bowl,Lunch,"Toss sliced turkey with avocado, cherry tomatoes, and a lime dressing.",Non-Veg
483,Quinoa & Roasted Vegetable Bowl,12,35,5,250,1 bowl,Lunch,Toss cooked quinoa with roasted vegetables and a balsamic vinaigrette.,Veg
484,Beef & Quinoa Bowl,25,30,10,350,1 bowl,Lunch,Cook ground beef and serve over quinoa with mixed vegetables.,Non-Veg
485,Chicken & Spinach Pasta,30,40,10,400,1 bowl,Lunch,"Toss cooked pasta with grilled chicken, spinach, and a light cream sauce.",Non-Veg
486,Mediterranean Chicken Bowl,30,10,15,350,1 bowl,Lunch,"Mix grilled chicken with cucumbers, tomatoes, olives, and feta, drizzle with olive oil.",Non-Veg
487,Veggie & Lentil Soup,12,30,5,250,1 bowl,Lunch,Simmer lentils with mixed vegetables and broth until tender.,Non-Veg
488,Shrimp & Avocado Salad,25,10,15,300,1 bowl,Lunch,"Toss shrimp with avocado, lime juice, and cilantro, serve chilled.",Non-Veg
489,Chicken & Vegetable Wrap,30,30,10,350,1 wrap,Lunch,"Fill a tortilla with grilled chicken, mixed vegetables, and ranch dressing, roll tightly.",Non-Veg
490,Quinoa & Black Bean Tacos,15,30,5,250,2 tacos,Lunch,"Fill corn tortillas with quinoa, black beans, and avocado, top with salsa.",Veg
491,Turkey & Spinach Salad,25,10,10,250,1 bowl,Lunch,"Mix sliced turkey with spinach, walnuts, and vinaigrette.",Non-Veg
492,Chicken & Sweet Potato Bowl,30,30,10,400,1 bowl,Lunch,"Roast sweet potatoes, top with grilled chicken and a drizzle of honey.",Non-Veg
493,Veggie & Quinoa Salad,12,30,5,250,1 bowl,Lunch,Toss cooked quinoa with mixed vegetables and a lemon dressing.,Non-Veg
494,Shrimp & Vegetable Salad,25,10,15,300,1 bowl,Lunch,"Toss shrimp with mixed greens, cherry tomatoes, and a light vinaigrette.",Non-Veg
495,Chicken & Lentil Salad,30,30,5,400,1 bowl,Lunch,"Mix grilled chicken with lentils, spinach, and a vinaigrette.",Non-Veg
496,Quinoa & Roasted Chickpea Salad,12,35,5,250,1 bowl,Lunch,"Toss cooked quinoa with roasted chickpeas and veggies, drizzle with tahini.",Veg
497,Beef & Vegetable Soup,25,20,10,350,1 bowl,Lunch,Simmer beef with mixed vegetables and broth until cooked through.,Non-Veg
498,Chicken & Avocado Wrap,30,30,15,400,1 wrap,Lunch,"Fill a tortilla with grilled chicken, avocado, and salsa, roll tightly.",Non-Veg
499,Mediterranean Quinoa Bowl,12,35,5,250,1 bowl,Lunch,"Combine quinoa with olives, tomatoes, cucumber, and feta, drizzle with olive oil.",Veg
500,Shrimp & Mango Salad,25,10,15,300,1 bowl,Lunch,"Toss shrimp with mango, avocado, and lime juice, serve chilled.",Non-Veg
501,Grilled Salmon with Asparagus,35,10,15,350,1 fillet,Dinner,"Grill salmon and asparagus, serve with lemon.",Veg
502,Chicken Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
503,Beef Tacos,25,30,10,350,2 tacos,Dinner,"Cook ground beef with taco seasoning, serve in corn tortillas with toppings.",Non-Veg
504,Vegetable Curry,10,30,5,200,1 bowl,Dinner,"Cook mixed vegetables in coconut milk with curry spices, serve with rice.",Veg
505,Shrimp & Grits,25,40,15,450,1 bowl,Dinner,"Cook shrimp in a spicy sauce, serve over creamy grits.",Non-Veg
506,Baked Chicken Thighs,30,0,20,400,1 thigh,Dinner,"Season chicken thighs, bake at 375°F for 45 minutes until cooked through.",Non-Veg
507,Quinoa & Black Bean Chili,15,30,5,250,1 bowl,Dinner,Cook quinoa and black beans with tomatoes and spices until thickened.,Veg
508,Eggplant Parmesan,10,30,10,300,1 serving,Dinner,"Layer baked eggplant with marinara and cheese, bake until bubbly.",Non-Veg
509,Chicken & Vegetable Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken and mixed vegetables in a casserole dish, bake until bubbly.",Non-Veg
510,Lentil & Spinach Stew,18,30,5,250,1 bowl,Dinner,Simmer lentils with spinach and spices in vegetable broth until tender.,Veg
511,Grilled Veggie Skewers,10,20,5,150,2 skewers,Dinner,"Skewer assorted vegetables, grill until tender.",Non-Veg
512,Chicken & Quinoa Bowl,30,35,10,400,1 bowl,Dinner,Serve grilled chicken over quinoa with mixed vegetables.,Non-Veg
513,Shrimp & Vegetable Stir-Fry,25,20,10,350,1 bowl,Dinner,"Stir-fry shrimp with mixed vegetables and garlic, serve over rice.",Non-Veg
514,Beef & Broccoli,30,20,10,350,1 bowl,Dinner,"Stir-fry beef with broccoli and soy sauce, serve over rice.",Non-Veg
515,Chicken & Lentil Soup,25,20,5,250,1 bowl,Dinner,"Simmer chicken, lentils, and vegetables in broth until cooked.",Non-Veg
516,Quinoa & Roasted Vegetable Bowl,12,35,5,250,1 bowl,Dinner,Toss cooked quinoa with roasted vegetables and a lemon dressing.,Veg
517,Baked Cod with Lemon,30,0,5,200,1 fillet,Dinner,Bake cod with lemon and herbs until flaky.,Veg
518,Chicken & Sweet Potato Skillet,30,40,10,400,1 bowl,Dinner,Saute chicken and sweet potatoes with spices until cooked through.,Non-Veg
521,Stuffed Bell Peppers,20,30,5,250,2 peppers,Dinner,"Stuff bell peppers with ground turkey, rice, and spices, bake until tender.",Veg
522,Shrimp Tacos,25,30,10,350,2 tacos,Dinner,"Cook shrimp with spices, serve in corn tortillas with slaw.",Non-Veg
523,Chicken Alfredo,30,40,15,500,1 serving,Dinner,"Cook fettuccine, toss with grilled chicken and Alfredo sauce.",Non-Veg
524,Beef Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry beef with mixed vegetables and soy sauce, serve over rice.",Non-Veg
525,Vegetable Lasagna,12,40,10,350,1 serving,Dinner,"Layer noodles with ricotta, spinach, marinara, and mozzarella, bake until bubbly.",Veg
526,Chicken & Rice Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken, rice, and cream of mushroom soup, bake until cooked through.",Non-Veg
527,Quinoa & Spinach Stuffed Peppers,12,30,5,250,2 peppers,Dinner,"Stuff bell peppers with quinoa, spinach, and cheese, bake until tender.",Veg
528,Baked Ziti,15,40,10,400,1 serving,Dinner,"Mix cooked ziti with marinara and cheese, bake until bubbly.",Veg
529,Chicken & Mushroom Risotto,30,40,10,400,1 bowl,Dinner,"Cook arborio rice with chicken broth, add chicken and mushrooms, stir until creamy.",Non-Veg
530,Grilled Pork Chops,30,0,15,300,1 chop,Dinner,"Season pork chops, grill until cooked through.",Non-Veg
531,Lentil & Vegetable Stew,18,30,5,250,1 bowl,Dinner,Simmer lentils with mixed vegetables and spices in vegetable broth until tender.,Veg
532,Chicken & Broccoli Casserole,30,40,10,400,1 serving,Dinner,"Combine chicken, broccoli, and cheese in a casserole dish, bake until bubbly.",Non-Veg
533,Shrimp & Grits,25,40,15,450,1 bowl,Dinner,"Cook shrimp in a spicy sauce, serve over creamy grits.",Non-Veg
534,Beef & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry beef with mixed vegetables and soy sauce, serve over rice.",Non-Veg
535,Chicken & Spinach Pasta,30,40,10,400,1 bowl,Dinner,"Toss cooked pasta with grilled chicken, spinach, and a light cream sauce.",Non-Veg
536,Quinoa & Roasted Chickpea Salad,12,35,5,250,1 bowl,Dinner,"Toss cooked quinoa with roasted chickpeas and veggies, drizzle with tahini.",Veg
537,Grilled Vegetable Pasta,10,40,5,250,1 bowl,Dinner,Toss cooked pasta with grilled vegetables and olive oil.,Veg
538,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
539,Baked Eggplant Rollatini,10,30,10,300,2 rolls,Dinner,"Roll eggplant slices with ricotta, top with marin ara sauce, and bake until bubbly.",Non-Veg
540,Beef & Quinoa Bowl,25,30,10,350,1 bowl,Dinner,Cook ground beef and serve over quinoa with mixed vegetables.,Non-Veg
541,Chicken & Sweet Potato Bake,30,40,10,400,1 serving,Dinner,Bake chicken and sweet potatoes with herbs until cooked through.,Non-Veg
542,Shrimp & Broccoli Stir-Fry,25,20,10,350,1 bowl,Dinner,"Stir-fry shrimp with broccoli and garlic, serve over rice.",Non-Veg
543,Vegetable & Lentil Curry,15,30,5,250,1 bowl,Dinner,Cook lentils and mixed vegetables in coconut milk with curry spices.,Veg
544,Chicken & Rice Bowl,30,40,10,400,1 bowl,Dinner,Serve grilled chicken over brown rice with steamed vegetables.,Non-Veg
545,Quinoa & Spinach Stuffed Peppers,12,30,5,250,2 peppers,Dinner,"Stuff bell peppers with quinoa, spinach, and cheese, bake until tender.",Veg
546,Beef & Mushroom Stroganoff,30,30,15,450,1 serving,Dinner,"Cook beef and mushrooms in a creamy sauce, serve over egg noodles.",Non-Veg
547,Chicken & Vegetable Soup,30,20,5,250,1 bowl,Dinner,Simmer chicken with mixed vegetables and broth until cooked through.,Non-Veg
548,Grilled Chicken Caesar Salad,30,10,15,400,1 bowl,Dinner,"Toss romaine with grilled chicken, Caesar dressing, croutons, and parmesan.",Non-Veg
549,Lentil & Vegetable Curry,18,30,5,250,1 bowl,Dinner,Cook lentils with mixed vegetables in coconut milk and curry spices.,Veg
550,Shrimp & Vegetable Skewers,25,10,5,200,2 skewers,Dinner,"Skewer shrimp and vegetables, grill until cooked through.",Non-Veg
551,Chicken & Quinoa Stir-Fry,30,35,10,400,1 bowl,Dinner,"Stir-fry chicken with quinoa and mixed vegetables, season to taste.",Non-Veg
552,Baked Salmon with Dill,35,0,15,300,1 fillet,Dinner,Bake salmon with dill and lemon until flaky.,Veg
553,Vegetable Fried Rice,10,40,5,250,1 bowl,Dinner,Stir-fry rice with mixed vegetables and soy sauce.,Veg
554,Chicken & Spinach Stuffed Shells,30,40,10,400,4 shells,Dinner,"Stuff pasta shells with chicken and spinach, top with marinara, and bake.",Non-Veg
555,Beef & Vegetable Casserole,30,40,10,400,1 serving,Dinner,"Combine ground beef and mixed vegetables in a casserole dish, bake until bubbly.",Non-Veg
556,Shrimp & Avocado Salad,25,10,15,300,1 bowl,Dinner,"Toss shrimp with avocado, lime juice, and cilantro, serve chilled.",Non-Veg
557,Chicken & Lentil Salad,30,30,5,400,1 bowl,Dinner,"Mix grilled chicken with lentils, spinach, and a vinaigrette.",Non-Veg
558,Quinoa & Roasted Vegetable Salad,12,35,5,250,1 bowl,Dinner,Toss cooked quinoa with roasted vegetables and a balsamic vinaigrette.,Veg
559,Beef & Broccoli Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry beef with broccoli and soy sauce, serve over rice.",Non-Veg
560,Chicken & Sweet Potato Hash,30,40,10,400,1 bowl,Dinner,Saute diced chicken and sweet potatoes with spices until cooked through.,Non-Veg
561,Vegetable & Chickpea Stir-Fry,15,30,5,250,1 bowl,Dinner,"Stir-fry chickpeas with mixed vegetables and soy sauce, serve over rice.",Veg
562,Grilled Chicken & Quinoa Salad,30,35,10,400,1 bowl,Dinner,"Toss grilled chicken with quinoa, cherry tomatoes, and a lemon vinaigrette.",Non-Veg
563,Baked Eggplant Parmesan,10,30,10,300,1 serving,Dinner,"Layer baked eggplant with marinara and cheese, bake until bubbly.",Non-Veg
564,Shrimp & Spinach Pasta,25,40,10,400,1 bowl,Dinner,"Toss cooked pasta with shrimp, spinach, and garlic in olive oil.",Non-Veg
565,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
566,Quinoa & Black Bean Tacos,15,30,5,250,2 tacos,Dinner,"Fill corn tortillas with quinoa, black beans, and avocado, top with salsa.",Veg
567,Beef & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry beef with mixed vegetables and soy sauce, serve over rice.",Non-Veg
568,Chicken & Lentil Soup,30,20,5,250,1 bowl,Dinner,Simmer chicken with lentils and vegetables in broth until cooked.,Non-Veg
569,Grilled Vegetable Pasta,10,40,5,250,1 bowl,Dinner,Toss cooked pasta with grilled vegetables and olive oil.,Veg
570,Shrimp & Vegetable Skewers,25,10,5,200,2 skewers,Dinner,"Skewer shrimp and vegetables, grill until cooked through.",Non-Veg
571,Chicken & Quinoa Stir-Fry,30,35,10,400,1 bowl,Dinner,"Stir-fry chicken with quinoa and mixed vegetables, season to taste.",Non-Veg
572,Baked Salmon with Dill,35,0,15,300,1 fillet,Dinner,Bake salmon with dill and lemon until flaky.,Veg
573,Vegetable Fried Rice,10,40,5,250,1 bowl,Dinner,Stir-fry rice with mixed vegetables and soy sauce.,Veg
574,Chicken & Spinach Stuffed Shells,30,40,10,400,4 shells,Dinner,"Stuff pasta shells with chicken and spinach, top with marinara, and bake.",Non-Veg
575,Beef & Vegetable Casserole,30,40,10,400,1 serving,Dinner,"Combine ground beef and mixed vegetables in a casserole dish, bake until bubbly.",Non-Veg
576,Shrimp & Avocado Salad,25,10,15,300,1 bowl,Dinner,"Toss shrimp with avocado, lime juice, and cilantro, serve chilled.",Non-Veg
577,Chicken & Lentil Salad,30,30,5,400,1 bowl,Dinner,"Mix grilled chicken with lentils, spinach, and a vinaigrette.",Non-Veg
578,Quinoa & Roasted Vegetable Salad,12,35,5,250,1 bowl,Dinner,Toss cooked quinoa with roasted vegetables and a balsamic vinaigrette.,Veg
579,Beef & Broccoli Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-f ry beef with broccoli and soy sauce, serve over rice.",Non-Veg
580,Chicken & Sweet Potato Hash,30,40,10,400,1 bowl,Dinner,Saute diced chicken and sweet potatoes with spices until cooked through.,Non-Veg
581,Vegetable & Chickpea Stir-Fry,15,30,5,250,1 bowl,Dinner,"Stir-fry chickpeas with mixed vegetables and soy sauce, serve over rice.",Veg
582,Grilled Chicken & Quinoa Salad,30,35,10,400,1 bowl,Dinner,"Toss grilled chicken with quinoa, cherry tomatoes, and a lemon vinaigrette.",Non-Veg
583,Baked Eggplant Parmesan,10,30,10,300,1 serving,Dinner,"Layer baked eggplant with marinara and cheese, bake until bubbly.",Non-Veg
584,Shrimp & Spinach Pasta,25,40,10,400,1 bowl,Dinner,"Toss cooked pasta with shrimp, spinach, and garlic in olive oil.",Non-Veg
585,Chicken & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry chicken with mixed vegetables and soy sauce, serve over rice.",Non-Veg
586,Quinoa & Black Bean Tacos,15,30,5,250,2 tacos,Dinner,"Fill corn tortillas with quinoa, black beans, and avocado, top with salsa.",Veg
587,Beef & Vegetable Stir-Fry,30,20,10,350,1 bowl,Dinner,"Stir-fry beef with mixed vegetables and soy sauce, serve over rice.",Non-Veg
588,Chicken & Lentil Soup,30,20,5,250,1 bowl,Dinner,Simmer chicken with lentils and vegetables in broth until cooked.,Non-Veg
589,Grilled Vegetable Pasta,10,40,5,250,1 bowl,Dinner,Toss cooked pasta with grilled vegetables and olive oil.,Veg
590,Shrimp & Vegetable Skewers,25,10,5,200,2 skewers,Dinner,"Skewer shrimp and vegetables, grill until cooked through.",Non-Veg
591,Chicken & Quinoa Stir-Fry,30,35,10,400,1 bowl,Dinner,"Stir-fry chicken with quinoa and mixed vegetables, season to taste.",Non-Veg
592,Baked Salmon with Dill,35,0,15,300,1 fillet,Dinner,Bake salmon with dill and lemon until flaky.,Veg
593,Vegetable Fried Rice,10,40,5,250,1 bowl,Dinner,Stir-fry rice with mixed vegetables and soy sauce.,Veg
594,Chicken & Spinach Stuffed Shells,30,40,10,400,4 shells,Dinner,"Stuff pasta shells with chicken and spinach, top with marinara, and bake.",Non-Veg
595,Beef & Vegetable Casserole,30,40,10,400,1 serving,Dinner,"Combine ground beef and mixed vegetables in a casserole dish, bake until bubbly.",Non-Veg
596,Shrimp & Avocado Salad,25,10,15,300,1 bowl,Dinner,"Toss shrimp with avocado, lime juice, and cilantro, serve chilled.",Non-Veg
597,Chicken & Lentil Salad,30,30,5,400,1 bowl,Dinner,"Mix grilled chicken with lentils, spinach, and a vinaigrette.",Non-Veg
598,Quinoa & Roasted Vegetable Salad,12,35,5,250,1 bowl,Dinner,Toss cooked quinoa with roasted vegetables and a balsamic vinaigrette.,Veg
60,Baked Eggplant Parmesan,10,30,10,300,1 serving,Dinner,"Layer baked eggplant with marinara and cheese, bake until bubbly.",Non-Veg
601,Hummus & Veggies,5,15,5,100,1 serving,Snack,Serve hummus with assorted raw vegetables for dipping.,Non-Veg
602,Greek Yogurt with Berries,15,20,5,200,1 cup,Snack,Top Greek yogurt with fresh berries and a drizzle of honey.,Veg
603,Almonds & Dark Chocolate,5,10,10,150,1 oz,Snack,Enjoy a handful of almonds with a few pieces of dark chocolate.,Veg
604,Apple Slices with Peanut Butter,4,25,8,200,1 apple,Snack,Slice an apple and spread peanut butter on each slice.,Veg
605,Rice Cakes with Avocado,3,15,10,150,2 cakes,Snack,Top rice cakes with smashed avocado and a sprinkle of salt.,Veg
606,Cottage Cheese & Pineapple,15,20,2,150,1 cup,Snack,Mix cottage cheese with pineapple chunks for a refreshing snack.,Veg
607,Trail Mix,8,30,10,250,1/4 cup,Snack,"Combine nuts, seeds, and dried fruits for a healthy trail mix.",Veg
608,Veggie Chips,2,15,5,100,1 serving,Snack,Bake thinly sliced vegetables until crispy for a healthy chip alternative.,Non-Veg
609,Hard-Boiled Eggs,6,1,5,70,2 eggs,Snack,"Boil eggs, cool, and enjoy as a protein-packed snack.",Non-Veg
610,Banana Oatmeal Cookies,3,20,5,100,2 cookies,Snack,"Mix mashed bananas with oats, bake until golden for a healthy cookie.",Veg
611,Edamame,8,14,5,120,1 cup,Snack,Steam edamame pods and sprinkle with sea salt for a protein-rich snack.,Veg
